,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,FB,GOOG,MSFT,TSLA,AAPL,AMZN,FB,GOOG,MSFT,TSLA,AAPL,AMZN,FB,GOOG,MSFT,TSLA,AAPL,AMZN,FB,GOOG,MSFT,TSLA,AAPL,AMZN,FB,GOOG,MSFT,TSLA
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-29 09:30:00-04:00,136.74000549316406,3508.4951171875,329.1022033691406,2411.800048828125,255.35000610351562,699.64501953125,137.07000732421875,3513.47998046875,329.1022033691406,2413.969970703125,255.6280059814453,699.8300170898438,136.4499969482422,3508.0,329.0,2402.280029296875,255.25,699.64501953125,136.47000122070312,3512.820068359375,329.0,2410.330078125,255.4600067138672,699.8300170898438,8304939.0,247570.0,4552275.0,139973.0,1452571.0,595015.0
2021-04-29 09:31:00-04:00,136.2100067138672,3505.0,328.7099914550781,2409.489990234375,255.45899963378906,697.6199951171875,136.72999572753906,3508.9599609375,330.25,2413.469970703125,255.5800018310547,699.6400146484375,136.01260375976562,3503.0,328.5400085449219,2404.510009765625,255.22999572753906,697.0,136.72000122070312,3506.5,329.1099853515625,2411.18505859375,255.3300018310547,699.6400146484375,1624768.0,41467.0,727852.0,13672.0,350320.0,125957.0
2021-04-29 09:32:00-04:00,135.95989990234375,3503.699951171875,327.6499938964844,2405.620849609375,255.50999450683594,697.1989135742188,136.2100067138672,3506.77001953125,329.0,2412.35009765625,255.5399932861328,698.5999755859375,135.7050018310547,3497.02001953125,327.5899963378906,2405.620849609375,255.05999755859375,696.239990234375,136.18499755859375,3504.574951171875,328.69000244140625,2408.31494140625,255.4600067138672,697.5,1525766.0,59270.0,822547.0,19797.0,168397.0,104471.0
2021-04-29 09:33:00-04:00,136.19000244140625,3508.43994140625,327.3699951171875,2407.237548828125,255.63999938964844,698.8046264648438,136.30990600585938,3509.909912109375,328.05999755859375,2409.35009765625,255.69000244140625,699.280029296875,135.86000061035156,3499.239990234375,326.79998779296875,2404.5,255.3699951171875,696.6599731445312,135.94000244140625,3502.610107421875,327.6565856933594,2406.2001953125,255.50999450683594,697.3729248046875,1186422.0,16209.0,633562.0,12039.0,188273.0,94228.0
2021-04-29 09:34:00-04:00,135.92999267578125,3504.5,326.8599853515625,2410.110107421875,255.77999877929688,701.3775024414062,136.33779907226562,3509.89990234375,327.5799865722656,2410.800048828125,255.8800048828125,701.8699951171875,135.89999389648438,3502.320068359375,326.3299865722656,2405.89990234375,255.61000061035156,698.6199951171875,136.1999053955078,3508.199951171875,327.3251953125,2407.639892578125,255.63999938964844,699.0399780273438,993551.0,23802.0,521098.0,10422.0,183145.0,145308.0
2021-04-29 09:35:00-04:00,135.52000427246094,3504.510009765625,326.9100036621094,2411.39990234375,255.60000610351562,700.8635864257812,136.02000427246094,3509.180419921875,327.44000244140625,2412.35009765625,255.97999572753906,702.25,135.39999389648438,3502.0,326.510009765625,2410.02001953125,255.5,700.5999755859375,135.9199981689453,3505.7099609375,326.8599853515625,2410.409912109375,255.77999877929688,701.2659912109375,1372888.0,29967.0,363654.0,6771.0,172838.0,120255.0
2021-04-29 09:36:00-04:00,135.22000122070312,3494.1982421875,325.1011047363281,2408.548095703125,255.44000244140625,698.9249877929688,135.5399932861328,3505.949951171875,326.95001220703125,2412.110107421875,255.6699981689453,701.02001953125,135.0944061279297,3491.030029296875,325.04998779296875,2408.548095703125,255.38119506835938,698.260009765625,135.52659606933594,3503.489990234375,326.94000244140625,2412.0,255.59100341796875,700.909912109375,1226102.0,49467.0,575150.0,8939.0,153784.0,88940.0
2021-04-29 09:37:00-04:00,135.5,3493.581298828125,325.5450134277344,2409.56005859375,255.6999969482422,700.84130859375,135.50999450683594,3499.97998046875,326.0,2411.0,255.7299041748047,702.0,135.1999969482422,3491.719970703125,324.8599853515625,2407.18017578125,255.3614044189453,698.840087890625,135.22999572753906,3494.969970703125,325.0899963378906,2410.89990234375,255.4499969482422,699.1199951171875,1044547.0,38544.0,437146.0,4671.0,196436.0,104478.0
2021-04-29 09:38:00-04:00,134.97999572753906,3495.14990234375,325.3450012207031,2411.60009765625,255.8300018310547,699.280029296875,135.55999755859375,3498.275146484375,325.8500061035156,2415.0,255.92999267578125,700.7965087890625,134.9600067138672,3488.39990234375,325.0,2410.52001953125,255.697998046875,699.280029296875,135.49000549316406,3494.555419921875,325.5400085449219,2410.52001953125,255.72000122070312,700.7550048828125,1350940.0,42516.0,366648.0,19659.0,127610.0,47177.0
2021-04-29 09:39:00-04:00,134.2689971923828,3495.010009765625,325.510009765625,2420.85009765625,256.04998779296875,699.25,135.03500366210938,3499.39990234375,326.2900085449219,2422.375,256.1000061035156,699.74609375,134.1999969482422,3491.179931640625,325.1600036621094,2411.0400390625,255.74000549316406,698.5,135.0,3495.5,325.3999938964844,2411.0400390625,255.82000732421875,699.4500122070312,1972463.0,28249.0,399776.0,19413.0,220851.0,71937.0
2021-04-29 09:40:00-04:00,134.72999572753906,3501.239990234375,325.0799865722656,2416.198974609375,255.97999572753906,699.6400146484375,134.75999450683594,3508.98828125,325.8599853515625,2424.0,256.0899963378906,701.0,134.1300048828125,3495.510009765625,324.9200134277344,2414.75,255.94000244140625,698.0,134.22000122070312,3495.52001953125,325.5299072265625,2420.0,256.0299987792969,699.2949829101562,1488650.0,45203.0,398626.0,21967.0,136025.0,89450.0
2021-04-29 09:41:00-04:00,134.77000427246094,3501.39990234375,325.1600036621094,2414.97998046875,255.74459838867188,699.0,134.89999389648438,3505.68603515625,325.3999938964844,2416.10009765625,256.0400085449219,699.64990234375,134.53030395507812,3500.010009765625,324.8572998046875,2414.590087890625,255.72999572753906,698.5399780273438,134.72000122070312,3502.47998046875,325.0799865722656,2416.10009765625,255.98939514160156,699.4299926757812,956667.0,26896.0,241884.0,7033.0,109605.0,41624.0
2021-04-29 09:42:00-04:00,135.22000122070312,3503.35009765625,326.30499267578125,2417.39990234375,255.85009765625,699.4299926757812,135.22999572753906,3504.1298828125,326.3800048828125,2418.85498046875,255.92999267578125,699.5800170898438,134.75999450683594,3501.0,325.0,2414.5400390625,255.77999877929688,698.4833984375,134.77749633789062,3502.010009765625,325.0849914550781,2414.5400390625,255.77999877929688,699.0,1027990.0,16129.0,348415.0,8353.0,83141.0,51492.0
