Date,Open,High,Low,Close,Volume,Market Cap
11-05-2021,128.33778746,128.53905478,123.36259911,125.0305233,3335.37,0
10-05-2021,131.03663876,132.49265841,126.13315694,128.29566742,132267.63,0
09-05-2021,129.82927625,132.01163454,126.8886427,131.02063304,6272.04,0
08-05-2021,129.8575198,130.78778951,128.79362927,129.79858231,192.63,0
07-05-2021,128.3085062,130.90046597,128.01401349,129.85550988,3207,0
06-05-2021,127.90030703,129.08809249,127.23400309,128.29453525,3553.57,0
05-05-2021,127.03247718,129.65050274,127.03226718,127.92790163,1066.31,0
04-05-2021,132.10482221,132.40676127,126.34380848,127.03273497,4609.85,0
03-05-2021,131.46328684,136.90177796,131.42842101,132.08777004,51433.73,0
02-05-2021,130.83940544,131.91693271,130.79162325,131.45472609,149.72,0
01-05-2021,132.42940172,132.67392561,130.77520357,130.84842252,1942.42,0
30-04-2021,134.65212829,137.26471074,129.99645425,132.44414118,631.81,0
29-04-2021,137.97631647,137.98726924,132.39653698,134.69374755,34535.03,0
28-04-2021,135.22496476,139.55792207,133.7781757,137.97773466,7971.6,0
27-04-2021,134.82325426,136.32425903,133.50687228,135.20211355,6279.91,0
26-04-2021,135.92539722,141.22138113,132.9887395,134.79967288,6925.73,0
25-04-2021,133.94637827,136.09996667,133.92232696,135.91746736,41094.18,0
24-04-2021,135.97039163,136.07514386,132.20726002,133.95073901,176.93,0
23-04-2021,128.20912044,136.22160417,121.16067973,135.9718772,41244.42,0
22-04-2021,133.19184865,134.53184442,125.38434701,128.29932911,7916.84,0
21-04-2021,133.0108494,133.5788849,130.35476755,133.19182051,60009.32,0
20-04-2021,133.58566436,136.20253143,132.65020689,132.99580085,2403.15,0
19-04-2021,136.14847195,136.9202745,132.40760285,133.63378875,661.8,0
18-04-2021,133.07830521,137.59233922,131.33978698,136.14276326,34185.2,0
17-04-2021,133.68643349,134.6643701,133.06667482,133.08063501,2267.54,0
16-04-2021,134.83588899,135.09002689,132.33731304,133.72785018,2036.71,0
15-04-2021,133.49484316,134.93926119,131.91425056,134.82319882,1618.65,0
