,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Research Development,27573000000.0,26018000000.0,21419000000.0,16625000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,48082000000.0,39625000000.0,34913000000.0,27193000000.0
Minority Interest,,,,
Net Income,40269000000.0,34343000000.0,30736000000.0,12662000000.0
Selling General Administrative,28998000000.0,27461000000.0,23256000000.0,19733000000.0
Gross Profit,97795000000.0,89961000000.0,77270000000.0,65272000000.0
Ebit,41224000000.0,36482000000.0,32595000000.0,28914000000.0
Operating Income,41224000000.0,36482000000.0,32595000000.0,28914000000.0
Other Operating Expenses,,,,
Interest Expense,-135000000.0,-100000000.0,-114000000.0,-109000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,7813000000.0,5282000000.0,4177000000.0,14531000000.0
Total Revenue,182527000000.0,161857000000.0,136819000000.0,110855000000.0
Total Operating Expenses,141303000000.0,125375000000.0,104224000000.0,81941000000.0
Cost Of Revenue,84732000000.0,71896000000.0,59549000000.0,45583000000.0
Total Other Income Expense Net,6858000000.0,3143000000.0,2318000000.0,-1721000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,40269000000.0,34343000000.0,30736000000.0,12662000000.0
Net Income Applicable To Common Shares,40269000000.0,34343000000.0,30736000000.0,12662000000.0
